epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds
1,1.326397,57.6484,1.27271,59.7179,0.001,150.919
2,1.111807,67.2649,1.234805,61.6865,0.0009938441702975688,90.309
3,1.064658,69.6761,1.215492,61.9803,0.0009755282581475768,90.932
4,1.03073,71.4607,1.278281,60.2027,0.0009455032620941839,89.548
5,0.989794,73.6448,1.176248,64.6247,0.0009045084971874737,102.818
6,0.95669,75.2996,1.190265,63.8754,0.0008535533905932737,96.259
7,0.907935,77.6987,1.208779,64.4043,0.0007938926261462366,93.68
8,0.86072,80.4628,1.213779,65.1535,0.0007269952498697733,89.642
9,0.802314,83.2573,1.230662,65.5208,0.0006545084971874737,88.377
10,0.74163,86.3093,1.268626,64.5365,0.0005782172325201155,89.5
11,0.683203,89.2823,1.279666,65.5502,0.0005,88.814
12,0.623032,92.2715,1.302044,65.4033,0.0004217827674798847,88.239
13,0.58187,94.2893,1.347586,65.462,0.00034549150281252633,88.566
14,0.542455,96.1652,1.367177,66.3141,0.00027300475013022663,88.114
15,0.517996,97.24,1.350009,66.5344,0.00020610737385376348,88.216
16,0.502364,98.0187,1.364681,66.8136,0.00014644660940672625,88.149
17,0.48938,98.5541,1.367021,66.6667,9.549150281252631e-05,88.125
18,0.481469,98.8765,1.371078,66.6814,5.4496737905816096e-05,88.188
19,0.478215,98.9962,1.361433,66.7989,2.447174185242323e-05,88.308
20,0.475628,99.1462,1.359409,66.5785,6.15582970243117e-06,88.135
